SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4590634363;06/09/2025;34363;PAPELARIA ESKEMA LTDA;PA;MARABA;129495.0;904706;AQUARELA BAZZE 12 CORES CJTO;5.0;44.857;224.285;;RBR PRIME SERV DE REPRESENTACAO COM;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4590634363;06/09/2025;34363;PAPELARIA ESKEMA LTDA;PA;MARABA;129495.0;618647;CALCULADORA MESA BAZZE B3562 CX 1UN;1.0;13.61;13.61;;RBR PRIME SERV DE REPRESENTACAO COM;UNIDADE;DEFEITO;SEM MOTIVO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4590832797;08/09/2025;32797;PAPELARIA SANTA FE LTDA;MG;BETIM;146395.0;653235;CANETA GEL TRIS INKFINITY PASTEL BCO CX6;2.0;145.825;29.165;;JONATAS GOMES DE SOUZA;CAIXA;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4590832479;08/09/2025;32479;BAZAR E PAPELARIA HILLESHEIN LTDA ME;SC;BIGUACU;156090.0;904706;AQUARELA BAZZE 12 CORES CJTO;12.0;51.225;61.47;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4590860493;08/09/2025;60493;FAA DA NOBREGA;CE;MAURITI;157411.0;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN;4.0;19.98;79.92;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590870684;08/09/2025;70684;PAPELARIA ICOENSE LTDA;CE;ICO;155964.0;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN;1.0;19.98;19.98;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590928406;09/09/2025;28406;ALEXANITA LTDA ME;AP;MACAPA;154606.0;902900;LAPIS GRAF BAZZE HB BORR SEXT CX 72UN;2.0;21.76;;;H M G COMERCIO E REPRESENTACAO LTDA;CAIXA;DEFEITO;BORRACHA AMARELADA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590980407;09/09/2025;80407;DCM INFO LTDA;RS;CAPAO DA CANOA;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;19.0;;;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4591035650;10/09/2025;35650;CELSO LUIS BELON SERRA NEGRA EPP;SP;SERRA NEGRA;158620.0;911261;CALCULADORA BOLSO TRIS HOLIC ROSE CX 1UN;1.0;16.8;16.8;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;DIFEITO NO VISOR NUMERICO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;904188;LAPIS PTO PRINCESAS CRISTAL PT 36UN;72.0;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;CRISTAL DA PONTA DESCOLANDO;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;900678;CANETA BORRACHA TRIS HOLIC DP 12UN;1.0;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;AVARIADO;TAMPA TRINCADA;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;609768;APONTADOR DEP BARBIE PT 12UN;1.0;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;LAMINA DESCOLANDO DA BASE;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
