SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4591186062;11/09/2025;86062;GRAFICA MALU LTDA;MG;MATEUS LEME;151898;901057;BINDER CLIPS TECIDO TRIS HOLIC CART 4UN; 3,00 ; 3,84 ; 11,52 ;;JONATAS GOMES DE SOUZA;CARTELA;DEFEITO;FERRUGEM NOS PRENDEDORES;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4591167132;11/09/2025;67132;RAX COMERCIO DE PRESENTES E UTILIDALTDA;MG;PARA DE MINAS;160068;908582;TINTA GUACHE TRIS 250ML AM POTE; 3,00 ; 4,26 ; 12,78 ;;JONATAS GOMES DE SOUZA;UNIDADE;DEFEITO;TUBO VEIO SEM A TAMPA;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4591173975;11/09/2025;73975;A Z CIUPKA TRES ESTRELAS PAPELARIA E BRINQUEDOS;SC;PAPANDUVA;90699;612881;MARCA TEXTO TRIS FLASH GLIT POTE 24UN; 62,00 ; 125,16 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;PONTAS SECAS;DEVOLUÇÃO;GABRIELA SOUZA DOS SANTOS
4591271242;12/09/2025;71242;A2 VARIEDADES LTDA;BA;SALVADOR;154055;904706;AQUARELA BAZZE 12 CORES CJTO; 96,00 ; 4,94 ; 474,37 ;;CRISTIANE RODEIRO SCHLEU;UNIDADE;DEFEITO;DERRETIMENTO;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4591266647;12/09/2025;66647;TOT PAPELARIA LTDA;RS;CACHOEIRINHA;111389;903082;CANETA BORRACHA TRIS PLAY DP 24UN; 1,00 ; 108,00 ; 108,00 ;;CLARISSA DIAS DE SOUZA;DISPLAY;DEFEITO;PRECIONANDO A BORRACHA, ELA RETORNA PARA DENTRO DA BASE;ABATIMENTO;CLARISSA DIAS DE SOUZA
4591266647;12/09/2025;66647;TOT PAPELARIA LTDA;RS;CACHOEIRINHA;140308;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 1,00 ; 96,06 ; 96,06 ;;CLARISSA DIAS DE SOUZA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;CLARISSA DIAS DE SOUZA
4591266647;12/09/2025;66647;TOT PAPELARIA LTDA;RS;CACHOEIRINHA;153027;608037;COLA BASTAO BAZZE 10G SHRK 12UN; 1,00 ; 1,08 ; 1,08 ;;CLARISSA DIAS DE SOUZA;UNIDADE;DEFEITO;COLA NÃO ESTA COLANDO;ABATIMENTO;CLARISSA DIAS DE SOUZA
4591278484;12/09/2025;78484;OLIPOP PAPELARIA CRIATIVA LTDA;SP;VINHEDO;159932;906755;BORRACHA TRIS HOLIC MORANGO DP 24UN; 1,00 ; 97,39 ; 97,39 ;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;SEM CHEIRO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4591566750;15/09/2025;66750;C. M. B. FERREIRA ALVES;MG;JOAO MONLEVADE;135910;905017;CANETA ROLLER TRIS ENERGY 0.5 DP 30UN; 1,00 ; 134,65 ; 134,65 ;;GYZ AM COMERCIO E REPRES DE ARTIGOS;UNIDADE;DEFEITO;FALHA NA ESCRITA;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4591569426;15/09/2025;69426;LIVRARIA JAQUEIRA LTDA;PE;RECIFE;158611;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 2,00 ; 19,44 ; 38,88 ;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4591673258;16/09/2025;73258;R J C COMERCIAL E ACESSORIOS A ESCOLAR LTDA;SP;NOVA ODESSA;157912;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 1,00 ; 19,71 ; 19,71 ;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4591764966;17/09/2025;64966;DISTRIBUIDORA GLOBO LTDA ME;SE;ARACAJU;157396;909015;CANETA GEL APAGAVEL BAZZE 1.0MM DP24UN; 5,00 ; 71,48 ;;;W LIRA REPRESENTACOES EIRELI;UNIDADE;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4591858925;18/09/2025;58925;M G SEGURA NETO ME;SP;TEODORO SAMPAIO;160705;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 6,00 ; 96,06 ;;;M I R REPRESENTACAO COMERCIAL EM AR;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4591874100;18/09/2025;74100;ELOIM JOSE BRIAO LOPES JUNIOR;PR;PARANAGUA;162368;910622;BORRACHA TRIS HOLIC COELHO DP 18X3UN; 1,00 ; 44,02 ; 44,02 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;LAPIS COM EXCESSO DE COLA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
